Name,Classification
National Institute for Health and Care Excellence,NDPB
National Museum of the Royal Navy,NDPB
National Museums Liverpool,NDPB
National Offender Management Service (NOMS)/ Her Majesty's Prison and Probation Service,Executive Agency
National Portrait Gallery,NDPB
National Savings and Investments (NS&I),Non-Ministerial Department and Executive Agency (NS&I has dual status)
Natural England,NDPB
Natural Environment Research Council,NDPB
Natural History Museum,NDPB
NHS Digital,NDPB
NHS England,NDPB
NHS Improvement,NDPB
NHS Pay Review Body,NDPB with advisory functions
Northern Ireland Human Rights Commission,NDPB
Northern Lighthouse Board (Commissioners of Northern Lighthouses),NDPB
Nuclear Decommissioning Authority,NDPB
Nuclear Liabilities Financing Assurance Board,NDPB with advisory functions
Nuclear Research Advisory Council,NDPB with advisory functions
Office for Budget Responsibility,NDPB
Office for Fair Access,NDPB
"Office for Standards in Education, Children’s Services and Skills (OFSTED)",Non Ministerial Department
Office of Gas and Electricity Markets (Ofgem),Non Ministerial Department
Office of Qualifications and Examinations Regulation (OFQUAL),Non Ministerial Department
Office of Rail and Road,Non Ministerial Department
Office of Surveillance Commissioners,Tribunal NDPB
"Office of the Children’s Commissioner",NDPB
Office of the Immigration Services Commissioner,NDPB
Office of the Public Guardian,Executive Agency
Office of Water Services (Ofwat),Non Ministerial Department
Parades Commission for Northern Ireland,NDPB
Parole Board of England and Wales,NDPB
Pension Protection Fund Ombudsman,Tribunal NDPB
"Pensions Advisory Service",NDPB
Planning Inspectorate,Executive Agency
Plant Varieties and Seeds Tribunal,Tribunal NDPB
Police Discipline Appeals Tribunal,Tribunal NDPB
Police Remuneration Review Body,NDPB with advisory functions
Prison Service Pay Review Body,NDPB with advisory functions
Public Health England,Executive Agency
Public Works Loan Board,Non Ministerial Department
Queen Elizabeth II Conference Centre,Executive Agency
Regional Advisory Committees / Forestry and Woodlands Advisory Committees (x9),NDPB with advisory functions
Regulatory Policy Committee,NDPB with advisory functions
Review Body on Doctors’ and Dentists’ Remuneration,NDPB with advisory functions
Reviewing Committee on the Export of Works of Art,NDPB with advisory functions
Royal Air Force Museum,NDPB
Royal Armouries,NDPB
"Royal Mint Advisory Committee on the design of coins, medals, seals and decorations",NDPB with advisory functions
Royal Museums Greenwich,NDPB
Rural Payments Agency,Executive Agency
School Teachers’ Review Body,NDPB with advisory functions
Science Advisory Committee on the Medical Implications of Less-Lethal Weapons,NDPB with advisory functions
Science Advisory Council,NDPB with advisory functions
Science and Technology Facilities Council,NDPB
Science Museum Group,NDPB
Sea Fish Industry Authority,NDPB
Security Industry Authority,NDPB
Security Vetting Appeals Panel,NDPB with advisory functions
Senior Salaries Review Body,NDPB with advisory functions
Sentencing Council for England and Wales,NDPB with advisory functions
Serious Fraud Office,Non Ministerial Department
Single Source Regulations Office (SSRO),NDPB
Sir John Soane's Museum,NDPB
Skills Funding Agency,Executive Agency
Social Mobility Commission,NDPB with advisory functions
"Social Science Research Committee",NDPB with advisory functions
Social Security Advisory Committee,NDPB with advisory functions
Sport England,NDPB
Sports Grounds Safety Authority,NDPB
Standards and Testing Agency,Executive Agency
Student Loans Company,NDPB
Tate,NDPB
Technical Advisory Board,NDPB with advisory functions
The Pensions Ombudsman,Tribunal NDPB
The Pensions Regulator,NDPB
"Theatres Trust",NDPB with advisory functions
"Traffic Commissioners for Great Britain",Tribunal NDPB
Transport Focus,NDPB
Treasure Valuation Committee,NDPB with advisory functions
Tribunal Procedure Committee,NDPB with advisory functions
Trinity House,NDPB
UK Anti Doping,NDPB
UK Atomic Energy Authority,NDPB
UK Debt Management Office,Executive Agency
UK Hydrographic Office,Executive Agency
UK Space Agency,Executive Agency
UK Statistics Authority,Non Ministerial Department
UK Supreme Court,Non Ministerial Department
United Kingdom Sports Council,NDPB
Valuation Office Agency,Executive Agency
Valuation Tribunal for England,Tribunal NDPB
Valuation Tribunal Service,NDPB
Vehicle Certification Agency,Executive Agency
Veterans Advisory and Pensions Committees,NDPB with advisory functions
Veterinary Medicines Directorate,Executive Agency
Veterinary Products Committee,NDPB with advisory functions
Victoria and Albert Museum,NDPB
VisitBritain,NDPB
VisitEngland,NDPB with advisory functions
Wallace Collection,NDPB
"Westminster Foundation for Democracy",NDPB
Wilton Park,Executive Agency
Youth Justice Board for England and Wales,NDPB
