"city","county","lat","lng"
"Hingham","Norfolk","52.57969","0.98422"
"Great Yarmouth","Norfolk","52.60831","1.73052"
"North Walsham","Norfolk","52.82121","1.38746"
"Rackheath","Norfolk","52.66254","1.38032"
"Sheringham","Norfolk","52.94078","1.20931"
"Swaffham","Norfolk","52.6477","0.6857"
"Reepham","Norfolk","52.762","1.112"
"Stalham","Norfolk","52.77079","1.51783"
"Wroxham","Norfolk","52.706","1.412"
"Watton","Norfolk","52.57127","0.82586"
"Hawes","North Yorkshire","54.304143","-2.196418"
"Berwick upon Tweed","Northumberland","55.771","-2.007"
"Morpeth","Northumberland","55.16882","-1.68893"
"Eastwood","Nottinghamshire","53","-1.3"
"Carlton","Nottinghamshire","54.59004","-1.39117"
"Stapleford","Nottinghamshire","51.11667","-1.9"
"Abingdon","Oxfordshire","51.67109","-1.28278"
"Carterton","Oxfordshire","51.75905","-1.59435"
"Charlbury","Oxfordshire","51.8727","-1.48247"
"Burford","Oxfordshire","51.80915","-1.63628"
"Chipping Norton","Oxfordshire","51.94109","-1.5453"
"Neithrop","Oxfordshire","52.06025","-1.36256"
"Watlington","Oxfordshire","51.64327","-1.00448"
"Ruscote","Oxfordshire","52.06025","-1.36256"
"Woodstock","Oxfordshire","51.8485","-1.35132"
"Witney","Oxfordshire","51.7836","-1.4854"
"Market Drayton","Shropshire","52.90538","-2.49012"
"Shrewsbury","Shropshire","52.71009","-2.75208"
"Whitchurch","Shropshire","52.969","-2.682"
"Somerton","Somerset","51.95421","-1.27613"
"Beccles","Suffolk","52.45936","1.56465"
"Brandon","Suffolk","52.4474","0.6242"
"Tunstall","Staffordshire","53.0583","-2.2114"
"Aldeburgh","Suffolk","52.15259","1.60124"
"Bungay","Suffolk","52.45434","1.43818"
"Carlton Colville","Suffolk","52.454","1.691"
"Framlingham","Suffolk","52.22117","1.34205"
"Felixstowe","Suffolk","51.96375","1.3511"
"Halesworth","Suffolk","52.3464","1.5029"
"Kesgrave","Suffolk","52.06241","1.2365"
"Leiston","Suffolk","52.20611","1.57757"
"Needham Market","Suffolk","52.1555","1.0516"
"Orford","Suffolk","52.095","1.534"
"Southwold","Suffolk","52.32752","1.67979"
"Saxmundham","Suffolk","52.21497","1.48805"
"Stowmarket","Suffolk","52.18893","0.99774"
"Otley","Suffolk","53.90553","-1.69383"
"Woodbridge","Suffolk","52.09332","1.32042"
"Esher","Surrey","51.36969","-0.36693"
"Dorking","Surrey","51.23228","-0.3338"
"Leatherhead","Surrey","51.29652","-0.3338"
"Haslemere","Surrey","51.09015","-0.70785"
"Weybridge","Surrey","51.37178","-0.45975"
"Coleshill","Warwickshire","52.499","-1.708"
"Kenilworth","Warwickshire","52.34958","-1.58276"
"Aldridge","West Midlands","52.60549","-1.91715"
"Blackheath","West Midlands","51.4647","0.0079"
"Bognor Regis","West Sussex","50.78206","-0.67978"
"Burgess Hill","West Sussex","50.95843","-0.13287"
"Arundel","West Sussex","50.85423","-0.55393"
"Haywards Heath","West Sussex","50.99769","-0.10313"
"Cuckfield","West Sussex","51.01073","-0.14068"
"Petworth","West Sussex","50.98669","-0.61"
"Horsham","West Sussex","51.06314","-0.32757"
"Midhurst","West Sussex","50.98559","-0.74003"
"Selsey","West Sussex","50.73501","-0.78979"
"Steyning","West Sussex","50.88744","-0.32787"
"Southwick","West Sussex","51.29694","-2.2325"
"Worthing","West Sussex","50.81795","-0.37538"
"Morley","West Yorkshire","53.74013","-1.59877"
"Otley","West Yorkshire","53.90553","-1.69383"
"Yeadon","West Yorkshire","53.86437","-1.68743"
"Dundonald","County Down","54.594","-5.813"
"Coleraine","County Londonderry","55.13333","-6.66667"
"Alford","Aberdeenshire","57.23","-2.71"
"Thornhill","Dumfries and Galloway","55.23333","-3.76667"
"Duns","Scottish Borders","55.77704","-2.34575"
"Denbigh","Denbighshire","53.18333","-3.41667"
"Holywell","Flintshire","53.27466","-3.22895"
"Wymondham","Norfolk","52.75978","-0.74055"
"Hartlepool","County Durham","54.68611","-1.2125"
"Workington","Cumbria","54.6425","-3.54413"
"Kington","Herefordshire","52.2035","-3.03"
"Coningsby","Lincolnshire","53.10598","-0.17595"
"Harrogate","North Yorkshire","53.99078","-1.5373"
"Knaresborough","North Yorkshire","54.0091","-1.46851"
"Northallerton","North Yorkshire","54.33901","-1.43243"
"Malton","North Yorkshire","54.13695","-0.7996"
"Pickering","North Yorkshire","54.25","-0.76667"
"Ripon","North Yorkshire","54.13579","-1.52826"
"Selby","North Yorkshire","53.78333","-1.06667"
"Scarborough","North Yorkshire","54.27966","-0.40443"
"Skipton","North Yorkshire","53.96144","-2.01676"
"Tadcaster","North Yorkshire","53.88322","-1.26344"
"Thirsk","North Yorkshire","54.23298","-1.34411"
"Comber","County Down","54.54937","-5.74379"
"Leuchars","Fife","56.38174","-2.88253"
"Lossiemouth","Moray","57.72136","-3.28341"
"Crewe","Cheshire","53.09787","-2.44161"
"Ellesmere Port","Cheshire","53.27875","-2.90134"
"Knutsford","Cheshire","53.30289","-2.37482"
"Runcorn","Cheshire","53.34174","-2.73124"
"Altrincham","Greater Manchester","53.38752","-2.34848"
"Melton Mowbray","Leicestershire","52.76588","-0.88693"
"Immingham","Lincolnshire","53.61239","-0.22219"
"Whiston","Merseyside","53.413","-2.798"
"Bentham","North Yorkshire","54.118","-2.51"
"Kettering","Northamptonshire","52.39836","-0.72571"
"Bingham","Nottinghamshire","52.94978","-0.95907"
"Ellesmere","Shropshire","52.90838","-2.89806"
"Chard","Somerset","50.8727","-2.96597"
"Thorne","South Yorkshire","53.61122","-0.96308"
"Jarrow","Tyne and Wear","54.98036","-1.48423"
"Stourbridge","West Midlands","52.45608","-2.14317"
"Kidderminster","Worcestershire","52.38819","-2.25"
"Omagh","County Tyrone","54.6","-7.3"
"Grangemouth","Falkirk","56.01141","-3.72183"
"Holyhead","Anglesey","53.30621","-4.63211"
"Holyhead","Gwynedd","53.30621","-4.63211"
"Abergavenny","Monmouthshire","51.82098","-3.01743"
"Milford Haven","Pembrokeshire","51.71278","-5.0341"
"Pembroke","Pembrokeshire","51.67464","-4.91286"
"Beverley","East Riding of Yorkshire","53.84587","-0.42332"
"Huddersfield","West Yorkshire","53.64904","-1.78416"
"Edinburgh","Edinburgh","55.95206","-3.19648"
